"시설별(1)","시설별(2)",시설별(3),자치구별(1),자치구별(2),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"계획연장 (m)","소계",소계,합계,소계,10051512,10087466,10157351,10227534,10251553,10261164,10282686,10286770,10291374,10297137,10487154,10392318,10570575,10615726,10682218,10701402,10731805,10184056,10802714,10844239,10855922
"계획연장 (m)","소계",소계,합계,종로구,-,-,-,-,393911,394186,394186,394289,395680,397326,378115,339314,339790,339025,339188,336625,363885,336625,363798,364119,364544
"계획연장 (m)","소계",소계,합계,중구,-,-,-,-,265887,265887,265887,265887,265887,266177,266402,267360,269735,268267,265276,263411,271739,263411,271597,272011,272020
"계획연장 (m)","소계",소계,합계,용산구,-,-,-,-,363619,363744,365019,365817,366573,367202,366499,349630,350414,353633,352876,351934,368427,351934,372889,373484,373123
"계획연장 (m)","소계",소계,합계,성동구,-,-,-,-,274270,274865,275516,275624,275624,275407,291468,291771,298197,295472,291882,290223,303579,290223,305848,306078,306342
"계획연장 (m)","소계",소계,합계,광진구,-,-,-,-,372252,372313,372313,372313,372904,373142,347391,348064,347221,349355,350149,350724,362223,350678,363390,363986,364236
"계획연장 (m)","소계",소계,합계,동대문구,-,-,-,-,413646,413706,414296,412570,407341,406286,401598,400912,400241,400920,400611,399771,410622,399771,407524,407967,405439
"계획연장 (m)","소계",소계,합계,중랑구,-,-,-,-,395624,396318,397014,397473,398203,398203,387873,387536,389505,401771,404661,404661,422738,404661,432173,429297,429094
"계획연장 (m)","소계",소계,합계,성북구,-,-,-,-,464152,465364,463110,461376,460951,461348,478701,474052,470923,472526,471062,485239,513794,485239,505756,507503,505498
"계획연장 (m)","소계",소계,합계,강북구,-,-,-,-,337363,337777,338250,337547,338305,337565,328710,332465,331388,333583,332545,332849,354927,332849,356786,356576,356683
"계획연장 (m)","소계",소계,합계,도봉구,-,-,-,-,277661,277869,277869,277869,277869,278338,275367,292625,291844,293108,293265,293265,322476,293265,325794,329426,329484
"계획연장 (m)","소계",소계,합계,노원구,-,-,-,-,555059,555126,556674,557683,559215,559215,550346,386815,393523,396484,400617,400617,442951,400617,445716,448628,450294
"계획연장 (m)","소계",소계,합계,은평구,-,-,-,-,470212,470733,470791,470791,470071,460278,413498,447840,446616,454697,455174,455174,478417,455174,474432,483285,480898
"계획연장 (m)","소계",소계,합계,서대문구,-,-,-,-,396328,396600,395520,395945,397409,399259,345657,347848,347262,332424,331933,332051,353741,332051,348146,348434,348427
"계획연장 (m)","소계",소계,합계,마포구,-,-,-,-,482850,482910,483017,483362,483406,484077,470870,448074,451376,447358,443981,443888,465356,443888,463862,462850,463169
"계획연장 (m)","소계",소계,합계,양천구,-,-,-,-,300769,300962,301720,302210,302559,302559,365836,372170,383389,386351,387670,388035,392560,388035,392987,395261,395287
"계획연장 (m)","소계",소계,합계,강서구,-,-,-,-,461506,463893,476104,476627,476937,477679,478908,371065,471903,471693,505641,508037,527381,508037,563986,564816,566351
"계획연장 (m)","소계",소계,합계,구로구,-,-,-,-,299634,300578,300946,301211,301211,301983,366206,368513,370096,374655,379757,379819,387399,379820,391369,402766,403205
"계획연장 (m)","소계",소계,합계,금천구,-,-,-,-,231888,231888,231888,231888,231888,231896,236556,236855,241817,245182,249029,249029,260289,249029,259604,265400,265481
"계획연장 (m)","소계",소계,합계,영등포구,-,-,-,-,444095,444933,445466,447182,447659,447854,464381,466076,471176,472961,467424,469073,497616,469073,495682,492759,493144
"계획연장 (m)","소계",소계,합계,동작구,-,-,-,-,310265,309446,309501,309525,310030,310030,334550,333536,330599,332201,331742,331749,336275,331749,333908,335281,335280
"계획연장 (m)","소계",소계,합계,관악구,-,-,-,-,393040,393194,393339,393282,392963,394297,401234,401168,406730,409135,406168,408058,432941,408058,433404,431069,432341
"계획연장 (m)","소계",소계,합계,서초구,-,-,-,-,356416,356541,357341,357404,357404,358435,521989,528219,532885,538319,540656,542729,588115,542729,589940,597690,602583
"계획연장 (m)","소계",소계,합계,강남구,-,-,-,-,618696,618696,618911,618911,619313,619956,641201,641287,644132,646648,664127,665311,710264,665311,721661,723869,731958
"계획연장 (m)","소계",소계,합계,송파구,-,-,-,-,533870,534123,534123,534123,534123,534123,546793,643855,650561,655839,656703,656703,691703,656703,710766,708734,706636
"계획연장 (m)","소계",소계,합계,강동구,-,-,-,-,396137,396343,398318,398550,398550,398968,412145,447143,441576,442198,443039,445126,472388,445126,471696,472950,474406
"계획연장 (m)","소계",소계,합계,중랑처리장,-,-,-,-,171416,171416,172746,173907,175922,182959,142283,182959,195422,195448,197960,197969,-,-,-,-,-
"계획연장 (m)","소계",소계,합계,탄천처리장,-,-,-,-,87069,87069,88137,88766,88766,88610,88610,97382,102923,104169,109317,109589,-,-,-,-,-
"계획연장 (m)","소계",소계,합계,서남처리장,-,-,-,-,90028,90740,90740,90667,90667,90667,90667,94487,102717,102978,108619,108595,-,-,-,-,-
"계획연장 (m)","소계",소계,합계,난지처리장,-,-,-,-,93890,93944,93944,93971,93944,93299,93299,93299,96613,99326,101148,101148,-,-,-,-,-
"시설연장 (m)","소계",소계,합계,소계,10051512,10087466,10157351,10227534,10251553,10261164,10282686,10286770,10291374,10297137,10487154,10392318,10570575,10615726,10682218,10701402,10728595,10723670,10798477,10827521,10837501
"시설연장 (m)","소계",소계,합계,종로구,-,-,-,-,393911,394186,394186,394289,395680,397326,378115,339314,339790,339025,339188,336625,363885,363310,363798,364119,364544
"시설연장 (m)","소계",소계,합계,중구,-,-,-,-,265887,265887,265887,265887,265887,266177,266402,267360,269735,268267,265276,263411,271739,272017,271597,272011,272020
"시설연장 (m)","소계",소계,합계,용산구,-,-,-,-,363619,363744,365019,365817,366573,367202,366499,349630,350414,353633,352876,351934,368427,368238,372889,373331,372936
"시설연장 (m)","소계",소계,합계,성동구,-,-,-,-,274270,274865,275516,275624,275624,275407,291468,291771,298197,295472,291882,290223,303579,302332,305848,305936,306149
"시설연장 (m)","소계",소계,합계,광진구,-,-,-,-,372252,372313,372313,372313,372904,373142,347391,348064,347221,349355,350149,350724,362223,359654,363390,363986,364236
