"자치구별(1)",자치구별(2),2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"자치구별(1)",자치구별(2),하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황,하수관거총시설연장 (km),준설관거 현황,준설관거 현황
"자치구별(1)",자치구별(2),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%),소계,준설관거연장 (m),하수도준설률 (%)
"서울시",소계,10157,1235041,12.2,10228,1154266,11.3,10252,1024142,10.0,10261,1200807,11.7,10283,978331,9.5,10287,1125077,10.9,10291,1134528,11.0,10297,1354134,13.2,10487,1809596,17.3,10392,1853577,17.8,10570,1194110,11.3,10616,1151335,10.9,10682,814683,7.6,10701,616090,5.8,10728,1513884,14.1,10728,527285,4.9,10799,1594251,14.8,10828,2628834,24.3,10838,2273566,21.0
"서울시",종로구,392,24185,6.2,394,19385,4.9,394,11860,3.0,394,29184,7.4,394,30152,7.7,394,53854,13.7,396,45081,11.4,397,52157,13.1,378,137710,36.4,339,80169,23.6,340,50789,15.0,339,34880,10.3,339,37987,11.2,337,24205,7.2,364,213140,58.6,364,15597,4.3,364,168953,46.4,364,185442,50.9,365,189821,52.0
"서울시",중구,265,13269,5.0,266,15495,5.8,266,22730,8.6,266,25180,9.5,266,22173,8.3,266,19882,7.5,266,24088,9.1,266,21210,8.0,266,27316,10.3,267,30321,11.3,270,15770,5.9,268,15337,5.7,265,12224,4.6,263,13093,5.0,272,11245,4.1,272,12355,4.5,272,14300,5.3,272,14606,5.4,272,14606,5.4
"서울시",용산구,363,26405,7.3,364,19888,5.5,364,17521,4.8,364,24724,6.8,365,1825,0.5,366,23830,6.5,367,25998,7.1,367,27827,7.6,366,24966,6.8,350,31947,9.1,350,31043,8.9,354,65965,18.6,353,29764,8.4,352,24628,7.0,368,24966,6.8,368,7015,1.9,373,11618,3.1,373,11618,3.1,373,11618,3.1
"서울시",성동구,271,62372,23.0,273,74805,27.4,274,61577,22.5,275,274865,-,276,62396,22.7,276,66211,24.0,276,68072,24.7,276,59983,21.7,291,83704,28.7,292,73451,25.2,298,87461,29.3,296,95722,32.3,292,26260,9.0,290,27865,9.6,304,144000,47.4,304,31350,10.3,306,7500,2.5,306,167854,54.9,306,21983,7.2
"서울시",광진구,368,88034,24.0,371,85954,23.2,372,71475,19.2,372,78000,21.0,372,46917,12.6,372,89593,24.1,373,90245,24.2,373,102952,27.6,347,168231,48.4,348,183646,52.8,347,30240,8.7,349,44746,12.8,350,35418,10.1,351,41119,11.7,362,48787,13.5,362,33848,9.4,363,22000,6.1,364,16713,4.6,364,18037,5.0
"서울시",동대문구,412,100869,24.5,413,72736,17.6,414,68797,16.6,414,7175,1.7,414,80227,19.4,413,54462,13.2,407,50552,12.4,406,57295,14.1,402,76871,19.1,401,56585,14.1,400,44460,11.1,401,55360,13.8,401,30424,7.6,400,45426,11.4,411,68721,16.7,411,36604,8.9,408,42351,10.4,408,56954,14.0,405,53978,13.3
"서울시",중랑구,391,108000,27.6,394,79192,20.1,396,56080,14.2,396,3980,1.0,397,67792,17.1,397,78166,19.7,398,84411,21.2,398,124508,31.3,388,284317,73.3,388,274157,70.7,390,77898,20.0,402,31666,7.9,405,20128,5.0,405,16387,4.1,423,16388,3.9,423,16561,3.9,432,35000,8.1,429,323995,75.5,429,14236,3.3
"서울시",성북구,471,31986,6.8,465,24934,5.4,464,29247,6.3,465,39424,8.5,463,45700,9.9,461,19274,4.2,461,25551,5.5,461,35919,7.8,479,32000,6.7,474,76932,16.2,471,18989,4.0,473,16383,3.5,471,14249,3.0,485,9490,2.0,514,87057,17.0,514,7554,1.5,506,46325,9.2,508,89012,17.5,506,94413,18.7
"서울시",강북구,333,64260,19.3,335,61350,18.3,337,86709,25.7,338,59000,17.5,338,52489,15.5,338,95574,28.3,338,67206,19.9,338,75298,22.3,329,91572,27.9,332,113788,34.2,331,55508,16.8,334,36190,10.8,333,24780,7.5,333,24940,7.5,355,24941,7.0,355,27223,7.7,357,127300,35.7,356,220729,61.9,357,131961,37.0
"서울시",도봉구,277,36650,13.2,278,28185,10.2,278,35419,12.8,278,29926,10.8,278,21605,7.8,278,17570,6.3,278,29313,10.6,278,24844,8.9,275,65678,23.9,293,29437,10.1,292,33180,11.4,293,46170,15.8,293,33270,11.3,293,26327,9.0,322,16610,5.2,322,16610,5.2,326,200000,61.4,329,128339,39.0,330,128339,38.9
"서울시",노원구,554,49177,8.9,553,62545,11.3,555,30596,5.5,555,60203,10.8,557,50630,9.1,558,28433,5.1,559,21399,3.8,559,38886,7.0,550,55724,10.1,387,87235,22.6,394,18223,4.6,397,59110,14.9,401,12412,3.1,401,11250,2.8,443,6930,1.6,443,7348,1.7,446,6256,1.4,449,17200,3.8,450,15100,3.4
