"currentCount","data__공사내용","data__공사명","data__공사준공일","data__공사착공일","data__순번","data__현장주소","matchCount","page","perPage","totalCount"
"23","관로 25.7㎞, 정수시설 증설(14만 ㎥/일)","한강하류권(4차) 급수체계조정사업(1공구)","2026-08-04","2022-11-14","1","고양시, 파주시","23","1","101","23"
"","관로 7.3㎞, 정수시설 증설(23만 ㎥/일)","한강하류권(4차) 급수체계조정사업(2공구)","2025-12-15","2022-11-14","2","고양시, 파주시","","","",""
"","관로 48.8㎞","충남서부권 광역상수도사업(1공구)","2024-12-18","2021-11-22","3","충남권","","","",""
"","관로 46.3㎞","충남서부권 광역상수도사업(2공구)","2024-12-02","2021-11-30","4","충남권","","","",""
"","정수장 1개소(9.6만 ㎥/일)","충남서부권 광역상수도사업(3공구)","2025-08-13","2022-04-01","5","충남권","","","",""
"","관로 19.5㎞, 해수담수화플랜트 1개소 등","대산임해해수담수화사업","2024-08-22","2021-11-22","6","충남권","","","",""
"","관로 3.9㎞","동두천 국가산단 용수공급","2025-06-11","2023-12-20","7","동두천시","","","",""
"","관로 2.9㎞","밀양 국가산단용수공급","2024-06-04","2023-01-17","8","밀양시","","","",""
"","관로 2.7㎞","경남항공 국가산단용수공급(사천,진주)","2024-07-08","2023-01-18","9","진주시, 사천시","","","",""
"","노후관 개량 25.7㎞","수도권(Ⅰ) 광역상수도 노후관개량(2차)","2027-07-24","2023-06-09","10","서울시, 부천시","","","",""
"","노후관 개량 26.6㎞, 대체관로 16.1㎞","태백권광역 광동계통 노후관개량","2027-07-24","2024-04-11","11","태백시, 삼척시","","","",""
"","노후관 개량 15.1㎞, 관로이설 1.8㎞","금강광역 노후관개량(2차)","2024-08-16","2021-09-29","12","군산시, 전주시","","","",""
"","노후관 개량 22.9㎞, 대체관로 0.5㎞","광양(Ⅰ단계) 노후관개량사업(광양구간)","2025-03-28","2021-11-02","13","광양시 등","","","",""
"","노후관 개량 17.2㎞, 교체관로 7.9㎞, 대체관로 14.9㎞","광양(Ⅰ단계) 노후관개량사업(여수구간)","2025-04-24","2021-11-02","14","여수시 등","","","",""
"","노후관 개량 18.8㎞, 대체관로 7.9㎞","광양Ⅰ광양신구계통 노후관 개량사업","2027-06-16","2024-03-04","15","광양시","","","",""
"","노후관 개량 45.5㎞, 대체관로 4.4㎞","울산 노후관개량(3차)","2025-03-14","2021-12-01","16","울산시 등","","","",""
"","관로 복선화 10.9㎞","수도권(Ⅳ) 복선화사업","2024-11-08","2021-05-11","17","시흥시, 안산시","","","",""
"","관로 복선화 20.5㎞","동화댐 관로복선화사업","2026-01-19","2022-12-22","18","남원시 등","","","",""
"","관로 복선화 24.5㎞","전남남부 관로복선화사업","2027-12-19","2023-12-21","19","강진군 등","","","",""
"","관로 복선화 24.4㎞","포항 관로복선화사업","2026-08-30","2023-07-03","20","포항시 등","","","",""
"","전오존+F/A(356천㎥/일)","수지정수장 고도정수처리시설 설치사업","2024-09-09","2020-11-30","21","용인시","","","",""
"","후오존+GAC(435천㎥/일)","천안정수장 고도정수처리시설 설치사업","2024-06-12","2020-11-30","22","천안","","","",""
"","전오존+F/A(297천㎥/일)","청주정수장 고도정수처리시설 설치사업","2026-12-22","2024-01-08","23","청주","","","",""
