"currentCount","data__공사내용","data__공사명","data__공사준공일","data__공사착공일","data__순번","data__현장주소","matchCount","page","perPage","totalCount"
"20","노후관 개량 3.3㎞","거제공업용수도 노후관 개량공사","2020-12-21","2018-06-25","1","경남 거제시 연초면 덕치리 107-10","20","1","101","20"
"","취·정수장 1개소(200천㎥/일), 관로 3.5㎞","충주댐계통 공업용수도사업 제2공구 시설공사","2020-12-05","2017-12-22","2","충북 충주시 용탄동 90-9","","","",""
"","관로 82.9㎞, 터널 1개소","충주댐계통 공업용수도사업 제3공구 시설공사","2020-12-05","2017-12-22","3","충북 충주시 대소원면 영평리129","","","",""
"","관로 31.2㎞, 가압장 3개소, 터널 1개소","충주댐계통 공업용수도사업 제4공구 시설공사","2020-12-05","2017-12-22","4","충북 음성군 금왕읍 정생리 315","","","",""
"","대체관로 16.7㎞, 노후관개량 14.14㎞, 관로추진 14개소","포항공업용수도 노후관 개량사업","2020-12-11","2018-06-26","5","경북 경주시 강동면 단구리 174-1","","","",""
"","관로 11.8㎞, 가압장 1개소, 정수장 1개소","포항블루밸리 국가산업단지 용수공급 시설공사","2020-07-03","2018-06-15","6","경북 포항시 남구 동해면 신정리 281-1","","","",""
"","노후관 개량 31.2㎞, 비상연계관로 0.8㎞","수도권(Ⅱ) 광역상수도 용수공급 신뢰성 제고사업 제1공구 시설공사","2020-04-17","2015-12-21","7","경기도 성남시 중원구 성남동 3188 원진빌딩6층","","","",""
"","노후관 개량 25.4㎞, 복선화 관로 28.6㎞","수도권(Ⅱ) 광역상수도 용수공급 신뢰성 제고사업 제2공구 시설공사","2020-12-25","2016-12-27","8","경기도 군포시 호수로 245번길 4-8","","","",""
"","정수장 2개소(천안 144천㎥/일, 아산 100천㎥/일)","대청댐계통(Ⅲ) 광역상수도사업 제2공구 정수시설공사","2020-06-16","2017-03-07","9","충남 천안시 동남구 풍세면 남관리 1-6","","","",""
"","관로 21.0㎞, 취수장 1개소(800천㎥/일), 조절지 1개소(4,400㎥)","대청댐계통(Ⅲ) 광역상수도사업 제3공구 취도수시설공사","2020-04-07","2015-11-20","10","충북 청주시 서원구 현도면 죽전리 276-9","","","",""
"","관로 26.6㎞, 가압장 1개소, 터널 2개소","대청댐계통(Ⅲ) 광역상수도사업 제4공구 도수시설공사","2020-05-27","2015-11-20","11","충북 청주시 흥덕구 오송읍 운주산로 154-6","","","",""
"","관로 47.9㎞, 가압장 2개소, 터널 1개소","대청댐계통(Ⅲ) 광역상수도사업 제5공구 도송수시설공사","2020-05-20","2015-11-20","12","충남 아산시 인주면 모원리 285-3","","","",""
"","노후관 개량 16.2km, 복선화 관로 13.6㎞","구미권광역상수도(1단계) 용수공급 신뢰성 제고사업 시설공사(본구간)","2020-05-08","2017-06-26","13","경상북도 구미시 오태동 오태길 200","","","",""
"","관로복선화 7.67㎞","수도권(Ⅲ) 광역상수도 관로 복선화사업 시설공사","2020-12-09","2016-03-02","14","경기도 시흥시 과림동 120-6","","","",""
"","관로 29.3㎞, 가압장 3개소","한강하류권(3차) 급수체계조정사업 송수시설공사(본구간)","2020-09-09","2016-03-27","15","경기도 양주시 광적면 가납리 산15-1","","","",""
"","이설공사","수도권(3,4단계) 광역상수도 이설공사(과림동일원)(2차년도)","2021-12-31","2021-03-02","16","수도권","","","",""
"","시설공사","금강광역상수도 노후관 개량사업(2차) 및 추가사업 시설공사(1차년도)","2022-09-13","2021-09-29","17","충남권","","","",""
"","시설공사","충남서부권 광역상수도사업(제1공구-홍성계통)(1차년도)","2022-11-21","2021-11-22","18","충남권","","","",""
"","시설공사","충남서부권 광역상수도사업(제2공구-태안계통) 및 추가사업(1차년도)","2023-03-29","2021-11-30","19","충남권","","","",""
"","건설공사","대산임해산업지역 공업용수도(해수담수화)사업 건설공사(1차년도)","2022-12-21","2021-11-22","20","대산","","","",""
